Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Winner
2019-2020,EPL,1,Liverpool,38,32,3,3,85,33,52,99,"41,955",Mohamed Salah - 19,Alisson,Champion
2019-2020,EPL,2,Manchester City,38,26,3,9,102,35,67,81,"37,097",Raheem Sterling - 20,Ederson,
2019-2020,EPL,3,Manchester Utd,38,18,12,8,66,36,30,66,"57,415","Marcus Rashford, Anthony Martial - 17",David de Gea,
2019-2020,EPL,4,Chelsea,38,20,6,12,69,54,15,66,"32,023",Tammy Abraham - 15,Kepa Arrizabalaga,
2019-2020,EPL,5,Leicester City,38,18,8,12,67,41,26,62,"25,312",Jamie Vardy - 23,Kasper Schmeichel,
2019-2020,EPL,6,Tottenham,38,16,11,11,61,47,14,59,"43,757",Harry Kane - 18,Hugo Lloris,
2019-2020,EPL,7,Wolves,38,15,14,9,51,40,11,59,"24,758",RaÃºl JimÃ©nez - 17,Rui PatrÃ­cio,
2019-2020,EPL,8,Arsenal,38,14,14,10,56,48,8,56,"47,589",Pierre-Emerick Aubameyang - 22,Bernd Leno,
2019-2020,EPL,9,Sheffield Utd,38,14,12,12,39,39,0,54,"24,370","Oliver McBurnie, Lys Mousset - 6",Dean Henderson,
2019-2020,EPL,10,Burnley,38,15,9,14,43,50,-7,54,"15,995",Chris Wood - 14,Nick Pope,
2019-2020,EPL,11,Southampton,38,15,7,16,51,60,-9,52,"23,428",Danny Ings - 22,Alex McCarthy,
2019-2020,EPL,12,Everton,38,13,10,15,44,56,-12,49,"28,848","Dominic Calvert-Lewin, Richarlison - 13",Jordan Pickford,
2019-2020,EPL,13,Newcastle Utd,38,11,11,16,38,58,-20,44,"35,551",Jonjo Shelvey - 6,Martin DÃºbravka,
2019-2020,EPL,14,Crystal Palace,38,11,10,17,31,50,-19,43,"19,784",Jordan Ayew - 9,Vicente Guaita,
2019-2020,EPL,15,Brighton,38,9,14,15,39,54,-15,41,"22,369",Neal Maupay - 10,Mathew Ryan,
2019-2020,EPL,16,West Ham,38,10,9,19,49,62,-13,39,"44,155",Michail Antonio - 10,Åukasz FabiaÅ„ski,
2019-2020,EPL,17,Aston Villa,38,9,8,21,41,67,-26,35,"28,505",Jack Grealish - 8,Tom Heaton,
2019-2020,EPL,18,Bournemouth,38,9,7,22,40,65,-25,34,"7,745",Callum Wilson - 8,Aaron Ramsdale,
2019-2020,EPL,19,Watford,38,8,10,20,36,64,-28,34,"15,353",Troy Deeney - 10,Ben Foster,
2019-2020,EPL,20,Norwich City,38,5,6,27,26,75,-49,21,"19,913",Teemu Pukki - 11,Tim Krul,
