Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Winner
2018-2019,Bundesliga,1,Bayern Munich,34,24,6,4,88,32,56,78,"75,000",Robert Lewandowski - 22,Manuel Neuer,Champion
2018-2019,Bundesliga,2,Dortmund,34,23,7,4,81,44,37,76,"80,841",Paco AlcÃ¡cer - 18,Roman BÃ¼rki,
2018-2019,Bundesliga,3,RB Leipzig,34,19,9,6,63,29,34,66,"38,380",Timo Werner - 16,PÃ©ter GulÃ¡csi,
2018-2019,Bundesliga,4,Leverkusen,34,18,4,12,69,52,17,58,"27,990",Kai Havertz - 17,LukÃ¡Å¡ HrÃ¡deckÃ½,
2018-2019,Bundesliga,5,M'Gladbach,34,16,7,11,55,42,13,55,"49,668",Alassane PlÃ©a - 12,Yann Sommer,
2018-2019,Bundesliga,6,Wolfsburg,34,16,7,11,62,50,12,55,"24,479",Wout Weghorst - 17,Koen Casteels,
2018-2019,Bundesliga,7,Eint Frankfurt,34,15,9,10,60,48,12,54,"49,794",Luka JoviÄ‡ - 17,Kevin Trapp,
2018-2019,Bundesliga,8,Werder Bremen,34,14,11,9,58,49,9,53,"41,403",Max Kruse - 11,JiÅ™Ã­ Pavlenka,
2018-2019,Bundesliga,9,Hoffenheim,34,13,12,9,70,52,18,51,"28,456",Andrej KramariÄ‡ - 17,Oliver Baumann,
2018-2019,Bundesliga,10,DÃ¼sseldorf,34,13,5,16,49,65,-16,44,"43,869","Dodi Lukebakio, Benito Raman - 10",Michael Rensing,
2018-2019,Bundesliga,11,Hertha BSC,34,11,10,13,49,57,-8,43,"49,258",Ondrej Duda - 11,Rune Jarstein,
2018-2019,Bundesliga,12,Mainz 05,34,12,7,15,46,57,-11,43,"26,246",Jean-Philippe Mateta - 14,Florian MÃ¼ller,
2018-2019,Bundesliga,13,Freiburg,34,8,12,14,46,61,-15,36,"23,894",Nils Petersen - 10,Alexander Schwolow,
2018-2019,Bundesliga,14,Schalke 04,34,8,9,17,37,55,-18,33,"60,941",Daniel Caligiuri - 7,Alexander NÃ¼bel,
2018-2019,Bundesliga,15,Augsburg,34,8,8,18,51,71,-20,32,"28,623",AlfreÃ° Finnbogason - 10,Gregor Kobel,
2018-2019,Bundesliga,16,Stuttgart,34,7,7,20,32,70,-38,28,"54,577",Mario GÃ³mez - 7,Ron-Robert Zieler,
2018-2019,Bundesliga,17,Hannover 96,34,5,6,23,31,71,-40,21,"38,365",Hendrik Weydandt - 6,Michael Esser,
2018-2019,Bundesliga,18,NÃ¼rnberg,34,3,10,21,26,68,-42,19,"40,372","Mikael Ishak, Hanno Behrens - 4",Christian Mathenia,
