Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Winner
2017-2018,EPL,1,Manchester City,38,32,4,2,106,27,79,100,"54,070",Sergio AgÃ¼ero - 21,Ederson,Champion
2017-2018,EPL,2,Manchester Utd,38,25,6,7,68,28,40,81,"74,976",Romelu Lukaku - 16,David de Gea,
2017-2018,EPL,3,Tottenham,38,23,8,7,74,36,38,77,"67,953",Harry Kane - 30,Hugo Lloris,
2017-2018,EPL,4,Liverpool,38,21,12,5,84,38,46,75,"53,049",Mohamed Salah - 32,"Loris Karius, Simon Mignolet",
2017-2018,EPL,5,Chelsea,38,21,7,10,62,38,24,70,"41,282",Eden Hazard - 12,Thibaut Courtois,
2017-2018,EPL,6,Arsenal,38,19,6,13,74,51,23,63,"59,323",Alexandre Lacazette - 14,Petr ÄŒech,
2017-2018,EPL,7,Burnley,38,14,12,12,36,39,-3,54,"20,688",Chris Wood - 10,Nick Pope,
2017-2018,EPL,8,Everton,38,13,10,15,44,58,-14,49,"38,797",Wayne Rooney - 10,Jordan Pickford,
2017-2018,EPL,9,Leicester City,38,12,11,15,56,60,-4,47,"31,583",Jamie Vardy - 20,Kasper Schmeichel,
2017-2018,EPL,10,Newcastle Utd,38,12,8,18,39,47,-8,44,"51,992",Ayoze PÃ©rez - 8,Rob Elliot,
2017-2018,EPL,11,Crystal Palace,38,11,11,16,45,55,-10,44,"25,063",Luka MilivojeviÄ‡ - 10,Wayne Hennessey,
2017-2018,EPL,12,Bournemouth,38,11,11,16,45,61,-16,44,"10,641","Callum Wilson, Joshua King - 8",Asmir BegoviÄ‡,
2017-2018,EPL,13,West Ham,38,10,12,16,48,68,-20,42,"56,885",Marko ArnautoviÄ‡ - 11,"Joe Hart, AdriÃ¡n",
2017-2018,EPL,14,Watford,38,11,8,19,44,64,-20,41,"20,231",Abdoulaye DoucourÃ© - 7,Heurelho Gomes,
2017-2018,EPL,15,Brighton,38,9,13,16,34,54,-20,40,"30,403",Glenn Murray - 12,Mathew Ryan,
2017-2018,EPL,16,Huddersfield,38,9,10,19,28,58,-30,37,"24,040",Steve MouniÃ© - 7,Jonas LÃ¶ssl,
2017-2018,EPL,17,Southampton,38,7,15,16,37,56,-19,36,"30,794",Charlie Austin - 7,Fraser Forster,
2017-2018,EPL,18,Swansea City,38,8,9,21,28,56,-28,33,"20,623",Jordan Ayew - 7,Åukasz FabiaÅ„ski,
2017-2018,EPL,19,Stoke City,38,7,12,19,35,68,-33,33,"29,280",Xherdan Shaqiri - 8,Jack Butland,
2017-2018,EPL,20,West Brom,38,6,13,19,31,56,-25,31,"24,520","SalomÃ³n RondÃ³n, Jay Rodriguez - 7",Ben Foster,
