Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2019-2020,Bundesliga,1,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,22,1996,6,1,157,1,0,0,0,1,0
2019-2020,Bundesliga,2,David Abraham,ar ARG,DF,Eint Frankfurt,33,1986,20,19,"1,688",2,0,0,0,2,1
2019-2020,Bundesliga,3,Amir Abrashi,al ALB,MF,Freiburg,29,1990,13,8,663,0,0,0,0,3,0
2019-2020,Bundesliga,4,Tyler Adams,us USA,"DF,MF",RB Leipzig,20,1999,14,10,953,0,0,0,0,0,0
2019-2020,Bundesliga,5,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,26,1993,15,6,746,5,1,0,0,1,0
2019-2020,Bundesliga,6,Manuel Akanji,ch SUI,DF,Dortmund,24,1995,29,25,"2,309",0,1,0,0,2,0
2019-2020,Bundesliga,7,Kevin Akpoguma,de GER,DF,Hoffenheim,24,1995,18,12,"1,142",0,0,0,0,2,0
2019-2020,Bundesliga,8,David Alaba,at AUT,DF,Bayern Munich,27,1992,28,27,"2,498",1,1,0,0,0,0
2019-2020,Bundesliga,9,Lucas Alario,ar ARG,FW,Leverkusen,26,1992,24,11,"1,174",7,1,1,1,6,0
2019-2020,Bundesliga,10,Paco Alcácer,es ESP,FW,Dortmund,25,1993,11,6,530,5,1,0,0,0,0
2019-2020,Bundesliga,11,Thiago Alcántara,es ESP,MF,Bayern Munich,28,1991,24,20,"1,771",3,0,0,0,7,0
2019-2020,Bundesliga,12,Nadiem Amiri,de GER,"MF,FW",Leverkusen,22,1996,30,22,"1,857",1,2,0,0,3,0
2019-2020,Bundesliga,13,Ethan Ampadu,wal WAL,DF,RB Leipzig,18,2000,3,0,81,0,0,0,0,0,0
2019-2020,Bundesliga,14,Opoku Ampomah,gh GHA,FW,Düsseldorf,23,1996,12,5,500,0,0,0,0,1,0
2019-2020,Bundesliga,15,Sebastian Andersson,se SWE,FW,Union Berlin,28,1991,33,31,"2,682",12,1,1,2,5,0
2019-2020,Bundesliga,16,Robert Andrich,de GER,MF,Union Berlin,24,1994,30,30,"2,572",1,2,0,0,13,1
2019-2020,Bundesliga,17,Angeliño,es ESP,DF,RB Leipzig,22,1997,13,12,"1,095",1,2,0,0,2,0
2019-2020,Bundesliga,18,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,25,1994,34,28,"2,470",1,2,0,0,2,0
2019-2020,Bundesliga,19,Charles Aránguiz,cl CHI,MF,Leverkusen,30,1989,27,23,"2,118",1,3,0,0,2,0
2019-2020,Bundesliga,20,Maximilian Arnold,de GER,MF,Wolfsburg,25,1994,33,32,"2,821",4,8,0,0,8,0
2019-2020,Bundesliga,21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,22,1997,8,7,634,0,1,0,0,2,0
2019-2020,Bundesliga,22,Ludwig Augustinsson,se SWE,DF,Werder Bremen,25,1994,12,10,924,0,1,0,0,2,0
2019-2020,Bundesliga,23,Taiwo Awoniyi,ng NGA,FW,Mainz 05,21,1997,12,5,483,1,0,0,0,1,0
2019-2020,Bundesliga,24,Kaan Ayhan,tr TUR,DF,Düsseldorf,24,1994,31,31,"2,731",2,3,0,0,10,0
2019-2020,Bundesliga,25,Matthias Bader,de GER,DF,Köln,22,1997,1,0,12,0,0,0,0,0,0
2019-2020,Bundesliga,26,Daniel Baier,de GER,MF,Augsburg,35,1984,23,22,"1,941",1,0,0,0,6,0
2019-2020,Bundesliga,27,Leon Bailey,jm JAM,"FW,MF",Leverkusen,21,1997,22,12,"1,090",5,3,0,0,0,2
2019-2020,Bundesliga,28,Lewis Baker,eng ENG,MF,Düsseldorf,24,1995,8,7,545,0,0,0,0,1,0
2019-2020,Bundesliga,29,Ridle Baku,de GER,"DF,MF",Mainz 05,21,1998,30,26,"2,351",1,3,0,0,5,1
2019-2020,Bundesliga,30,Leonardo Balerdi,ar ARG,"DF,MF",Dortmund,20,1999,7,1,133,0,0,0,0,1,0
2019-2020,Bundesliga,31,Philipp Bargfrede,de GER,MF,Werder Bremen,30,1989,15,6,586,0,0,0,0,3,1
2019-2020,Bundesliga,32,Aymen Barkok,de GER,"FW,MF",Düsseldorf,21,1998,3,1,79,0,0,0,0,0,0
2019-2020,Bundesliga,33,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,19,2000,18,11,938,0,2,0,0,4,0
2019-2020,Bundesliga,34,Fin Bartels,de GER,"FW,MF",Werder Bremen,32,1987,14,1,340,0,0,0,0,2,0
2019-2020,Bundesliga,35,Oliver Batista-Meier,de GER,FW,Bayern Munich,18,2001,1,0,13,0,0,0,0,0,0
2019-2020,Bundesliga,36,Oliver Baumann,de GER,GK,Hoffenheim,29,1990,30,30,"2,700",0,0,0,0,1,0
2019-2020,Bundesliga,37,Julian Baumgartlinger,at AUT,MF,Leverkusen,31,1988,27,20,"1,791",2,2,0,0,4,0
2019-2020,Bundesliga,38,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,19,1999,26,17,"1,493",7,2,0,0,3,0
2019-2020,Bundesliga,39,Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,22,1996,10,4,381,1,0,0,0,1,0
2019-2020,Bundesliga,40,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,25,1994,32,20,"2,102",6,1,0,0,1,0
2019-2020,Bundesliga,41,Sheraldo Becker,nl NED,"MF,FW",Union Berlin,24,1995,13,5,540,0,2,0,0,1,0
2019-2020,Bundesliga,42,Timo Becker,de GER,"DF,MF",Schalke 04,22,1997,10,4,336,0,0,0,0,0,0
2019-2020,Bundesliga,43,Maximilian Beier,de GER,FW,Hoffenheim,16,2002,6,0,109,0,0,0,0,1,0
2019-2020,Bundesliga,44,Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,27,1992,5,3,269,0,0,0,0,0,0
2019-2020,Bundesliga,45,Karim Bellarabi,de GER,"FW,DF",Leverkusen,29,1990,26,17,"1,424",4,6,0,0,2,0
2019-2020,Bundesliga,46,Lars Bender,de GER,"DF,MF",Leverkusen,30,1989,18,16,"1,373",2,1,0,0,3,0
2019-2020,Bundesliga,47,Sven Bender,de GER,DF,Leverkusen,30,1989,33,33,"2,726",2,1,0,0,3,0
2019-2020,Bundesliga,48,László Bénes,sk SVK,MF,M'Gladbach,21,1997,22,10,898,0,4,0,0,3,0
2019-2020,Bundesliga,49,Keanen Bennetts,eng ENG,MF,M'Gladbach,20,1999,1,0,1,0,0,0,0,0,0
2019-2020,Bundesliga,50,Ramy Bensebaini,dz ALG,DF,M'Gladbach,24,1995,19,16,"1,448",5,3,2,2,8,1
2019-2020,Bundesliga,51,Valon Berisha,xk KVX,"MF,FW",Düsseldorf,26,1993,13,12,941,0,1,0,0,1,0
2019-2020,Bundesliga,52,Louis Beyer,de GER,DF,M'Gladbach,19,2000,3,0,110,0,0,0,0,1,0
2019-2020,Bundesliga,53,Ermin Bičakčić,ba BIH,DF,Hoffenheim,29,1990,21,13,"1,176",2,0,0,0,0,0
2019-2020,Bundesliga,54,Leonardo Bittencourt,de GER,"FW,MF",Werder Bremen,25,1993,28,23,"1,889",4,2,0,0,6,0
2019-2020,Bundesliga,55,Leonardo Bittencourt,de GER,FW,Hoffenheim,25,1993,1,0,3,0,0,0,0,1,0
2019-2020,Bundesliga,56,Jérôme Boateng,de GER,DF,Bayern Munich,30,1988,24,23,"1,796",0,2,0,0,5,1
2019-2020,Bundesliga,57,Adam Bodzek,de GER,MF,Düsseldorf,33,1985,28,22,"2,015",0,0,0,0,10,0
2019-2020,Bundesliga,58,Jean-Paul Boëtius,nl NED,MF,Mainz 05,25,1994,28,26,"2,266",4,5,0,0,5,0
2019-2020,Bundesliga,59,Melayro Bogarde,nl NED,DF,Hoffenheim,17,2002,2,1,51,0,0,0,0,1,0
2019-2020,Bundesliga,60,Dennis Borkowski,de GER,FW,RB Leipzig,17,2002,1,0,9,0,0,0,0,0,0
