Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2019-2020,EPL,105,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,35,32,"2,791",13,20,2,2,3,0
2019-2020,EPL,106,Troy Deeney,eng ENG,FW,Watford,31,1988,27,26,"2,225",10,2,5,6,3,0
2019-2020,EPL,107,Fabian Delph,eng ENG,MF,Everton,29,1989,16,13,"1,190",0,0,0,0,5,1
2019-2020,EPL,108,Leander Dendoncker,be BEL,"MF,DF",Wolves,24,1995,38,32,"2,795",4,0,0,0,5,0
2019-2020,EPL,109,Gerard Deulofeu,es ESP,FW,Watford,25,1994,28,25,"2,098",4,5,1,1,3,0
2019-2020,EPL,110,Eric Dier,eng ENG,"DF,MF",Tottenham,25,1994,19,15,"1,344",0,2,0,0,5,0
2019-2020,EPL,111,Lucas Digne,fr FRA,DF,Everton,26,1993,35,35,"3,030",0,7,0,0,6,0
2019-2020,EPL,112,Virgil van Dijk,nl NED,DF,Liverpool,28,1991,38,38,"3,420",5,1,0,0,1,0
2019-2020,EPL,113,Issa Diop,fr FRA,DF,West Ham,22,1997,32,31,"2,766",3,1,0,0,8,0
2019-2020,EPL,114,Moussa Djenepo,ml MLI,"MF,DF",Southampton,21,1998,18,10,928,2,2,0,0,4,1
2019-2020,EPL,115,Matt Doherty,ie IRL,DF,Wolves,27,1992,36,32,"2,839",4,3,0,0,1,0
2019-2020,EPL,116,Abdoulaye Doucouré,fr FRA,MF,Watford,26,1993,37,36,"3,156",4,2,0,0,9,0
2019-2020,EPL,117,Thomas Doyle,eng ENG,"MF,FW",Manchester City,17,2001,1,0,16,0,0,0,0,0,0
2019-2020,EPL,118,Danny Drinkwater,eng ENG,MF,Burnley,29,1990,1,1,58,0,0,0,0,0,0
2019-2020,EPL,119,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,4,4,259,0,0,0,0,1,0
2019-2020,EPL,120,Josip Drmić,ch SUI,"FW,MF",Norwich City,26,1992,21,5,647,1,0,0,0,0,1
2019-2020,EPL,121,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38,38,"3,420",0,0,0,0,0,0
2019-2020,EPL,122,Ondrej Duda,sk SVK,MF,Norwich City,24,1994,10,9,724,0,0,0,0,0,0
2019-2020,EPL,123,Shane Duffy,ie IRL,DF,Brighton,27,1992,19,12,"1,238",1,0,0,0,2,0
2019-2020,EPL,124,Paul Dummett,wal WAL,DF,Newcastle Utd,27,1991,16,14,"1,228",0,0,0,0,2,0
2019-2020,EPL,125,Lewis Dunk,eng ENG,DF,Brighton,27,1991,36,36,"3,230",3,3,0,0,9,0
2019-2020,EPL,126,Ederson,br BRA,GK,Manchester City,25,1993,35,35,"3,071",0,0,0,0,3,1
2019-2020,EPL,127,John Egan,ie IRL,DF,Sheffield Utd,26,1992,36,36,"3,187",2,0,0,0,5,1
2019-2020,EPL,128,Harvey Elliot,eng ENG,DF,Liverpool,16,2003,2,0,8,0,0,0,0,0,0
2019-2020,EPL,129,Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,1987,18,11,"1,031",1,1,0,0,1,0
2019-2020,EPL,130,Björn Engels,be BEL,DF,Aston Villa,24,1994,17,15,"1,447",1,0,0,0,1,0
2019-2020,EPL,131,Christian Eriksen,dk DEN,"MF,FW",Tottenham,27,1992,20,10,"1,097",2,2,0,0,5,0
2019-2020,EPL,132,Jonny Evans,nir NIR,DF,Leicester City,31,1988,38,38,"3,383",1,1,0,0,8,1
2019-2020,EPL,133,Łukasz Fabiański,pl POL,GK,West Ham,34,1985,25,25,"2,117",0,0,0,0,1,0
2019-2020,EPL,134,Fabinho,br BRA,MF,Liverpool,25,1993,28,22,"2,079",2,3,0,0,6,0
2019-2020,EPL,135,Ralf Fährmann,de GER,GK,Norwich City,30,1988,1,1,21,0,0,0,0,0,0
2019-2020,EPL,136,Akin Famewo,eng ENG,MF,Norwich City,20,1998,1,0,1,0,0,0,0,0,0
2019-2020,EPL,137,Kiko Femenía,es ESP,DF,Watford,28,1991,28,26,"2,237",0,0,0,0,5,0
2019-2020,EPL,138,Bruno Fernandes,pt POR,MF,Manchester Utd,24,1994,14,14,"1,186",8,7,4,4,2,0
2019-2020,EPL,139,Gedson Fernandes,pt POR,"MF,DF",Tottenham,20,1999,7,0,68,0,0,0,0,0,0
2019-2020,EPL,140,Federico Fernández,ar ARG,DF,Newcastle Utd,30,1989,32,29,"2,620",2,2,0,0,8,0
2019-2020,EPL,141,Fernandinho,br BRA,DF,Manchester City,34,1985,30,26,"2,397",0,1,0,0,9,2
2019-2020,EPL,142,Roberto Firmino,br BRA,FW,Liverpool,27,1991,38,34,"2,988",9,8,0,0,0,0
2019-2020,EPL,143,John Fleck,sco SCO,MF,Sheffield Utd,27,1991,30,28,"2,516",5,2,0,0,8,0
2019-2020,EPL,144,Phil Foden,eng ENG,"FW,MF",Manchester City,19,2000,23,9,901,5,2,0,0,0,0
2019-2020,EPL,145,Pablo Fornals,es ESP,"MF,FW",West Ham,23,1996,36,24,"2,172",2,5,0,0,3,0
2019-2020,EPL,146,Ben Foster,eng ENG,GK,Watford,36,1983,38,38,"3,420",0,0,0,0,1,0
2019-2020,EPL,147,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,3,2,136,0,0,0,0,1,0
2019-2020,EPL,148,Dimitri Foulquier,fr FRA,"MF,DF",Watford,26,1993,3,1,59,0,0,0,0,0,0
2019-2020,EPL,149,Juan Foyth,ar ARG,DF,Tottenham,21,1998,4,1,68,0,0,0,0,1,0
2019-2020,EPL,150,Simon Francis,eng ENG,DF,Bournemouth,34,1985,15,10,969,0,0,0,0,5,1
2019-2020,EPL,151,Ryan Fraser,sco SCO,"MF,FW",Bournemouth,25,1994,28,21,"2,067",1,4,0,0,2,0
2019-2020,EPL,152,Fred,br BRA,MF,Manchester Utd,26,1993,29,23,"2,163",0,0,0,0,8,0
2019-2020,EPL,153,Ryan Fredericks,eng ENG,DF,West Ham,26,1992,27,25,"2,237",0,3,0,0,7,0
2019-2020,EPL,154,Kieron Freeman,wal WAL,FW,Sheffield Utd,27,1992,2,0,7,0,0,0,0,0,0
2019-2020,EPL,155,Luke Freeman,eng ENG,MF,Sheffield Utd,27,1992,11,3,366,0,0,0,0,2,0
