Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2019-2020,League 1,1,Yunis Abdelhamid,ma MAR,DF,Reims,31,1987,28,28,"2,520",3,0,0,0,0,0
2019-2020,League 1,2,Mehdi Abeid,dz ALG,MF,Nantes,26,1992,25,20,"1,817",1,2,0,0,5,0
2019-2020,League 1,3,Charles Abi,fr FRA,FW,Saint-Étienne,19,2000,15,6,623,0,0,0,0,2,0
2019-2020,League 1,4,Amine Adli,fr FRA,"MF,FW",Toulouse,19,2000,4,0,46,0,0,0,0,1,0
2019-2020,League 1,5,Yacine Adli,fr FRA,"MF,FW",Bordeaux,19,2000,21,11,"1,020",3,3,0,0,3,0
2019-2020,League 1,6,Nayef Aguerd,ma MAR,DF,Dijon,23,1996,11,11,957,1,0,0,0,2,0
2019-2020,League 1,7,Ruben Aguilar,fr FRA,DF,Monaco,26,1993,19,11,"1,072",0,2,0,0,2,2
2019-2020,League 1,8,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,25,1994,11,8,630,1,1,0,0,3,1
2019-2020,League 1,9,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,23,1996,12,6,536,0,1,0,0,1,0
2019-2020,League 1,10,Rayan Aït Nouri,fr FRA,DF,Angers,18,2001,17,16,"1,282",0,2,0,0,3,0
2019-2020,League 1,11,Ludovic Ajorque,re REU,FW,Strasbourg,25,1994,26,24,"2,058",8,4,1,1,3,0
2019-2020,League 1,12,Marley Aké,fr FRA,"FW,MF",Marseille,18,2001,9,0,99,0,0,0,0,1,0
2019-2020,League 1,13,Chadrac Akolo,cd COD,"FW,MF",Amiens,24,1995,15,5,544,2,1,0,0,1,0
2019-2020,League 1,14,Sofiane Alakouch,fr FRA,DF,Nîmes,21,1998,17,17,"1,400",0,0,0,0,3,0
2019-2020,League 1,15,Haitam Aleesami,no NOR,DF,Amiens,28,1991,22,21,"1,916",1,1,0,0,4,0
2019-2020,League 1,16,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,24,1995,11,9,901,0,0,0,0,0,0
2019-2020,League 1,17,Rachid Alioui,ma MAR,FW,Angers,27,1992,28,17,"1,563",6,1,0,0,1,0
2019-2020,League 1,18,Mickaël Alphonse,GPE,DF,Dijon,30,1989,17,15,"1,378",0,1,0,0,2,0
2019-2020,League 1,19,Romain Amalfitano,fr FRA,MF,Dijon,29,1989,26,18,"1,695",1,1,0,0,5,0
2019-2020,League 1,20,Jordan Amavi,fr FRA,DF,Marseille,25,1994,26,24,"2,164",1,1,0,0,9,0
2019-2020,League 1,21,Thierry Ambrose,fr FRA,FW,Metz,22,1997,18,4,548,0,0,0,0,1,0
2019-2020,League 1,22,Kelvin Amian,fr FRA,DF,Toulouse,21,1998,20,17,"1,633",0,2,0,0,3,0
2019-2020,League 1,23,Joachim Andersen,dk DEN,DF,Lyon,23,1996,18,17,"1,531",1,0,0,0,3,0
2019-2020,League 1,24,Benjamin André,fr FRA,MF,Lille,28,1990,26,23,"2,054",2,1,0,0,6,0
