Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,La Liga,107,Emanuel Cecchini,ar ARG,"MF,DF",Málaga,20,1996,2,0,30,0,0,0,0,1,0
2017-2018,La Liga,108,Nereo Champagne,ar ARG,GK,Leganés,32,1985,2,2,180,0,0,0,0,0,0
2017-2018,La Liga,109,Charles,br BRA,FW,Eibar,33,1984,30,18,"1,578",8,1,0,0,5,1
2017-2018,La Liga,110,Chema,es ESP,DF,Levante,25,1992,25,23,"2,020",1,0,0,0,8,1
2017-2018,La Liga,111,Denis Cheryshev,ru RUS,"MF,FW",Villarreal,26,1990,24,9,931,2,1,0,0,2,0
2017-2018,La Liga,112,Leandro Chichizola,ar ARG,GK,Las Palmas,27,1990,27,27,"2,430",0,0,0,0,2,0
2017-2018,La Liga,113,Chuca,es ESP,MF,Villarreal,20,1997,4,1,90,0,0,0,0,1,0
2017-2018,La Liga,114,Cifu,es ESP,DF,Málaga,26,1990,2,1,108,0,0,0,0,0,0
2017-2018,La Liga,115,Jasper Cillessen,nl NED,GK,Barcelona,28,1989,1,1,90,0,0,0,0,0,0
2017-2018,La Liga,116,Coke,es ESP,DF,Levante,30,1987,17,16,"1,383",3,0,0,0,5,2
2017-2018,La Liga,117,Emre Çolak,tr TUR,"MF,FW",La Coruña,26,1991,26,17,"1,447",1,2,0,0,4,0
2017-2018,La Liga,118,Francis Coquelin,fr FRA,"MF,DF",Valencia,26,1991,9,7,657,1,0,0,0,2,0
2017-2018,La Liga,119,Sébastien Corchia,fr FRA,DF,Sevilla,26,1990,12,9,820,0,1,0,0,4,0
2017-2018,La Liga,120,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,20,1997,30,18,"1,454",1,1,0,0,3,0
2017-2018,La Liga,121,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,22,1995,37,27,"2,240",8,5,0,0,4,2
2017-2018,La Liga,122,Joaquín Correa,ar ARG,"FW,MF",Sevilla,22,1994,21,15,"1,189",1,2,0,0,5,0
2017-2018,La Liga,123,Diego Costa,es ESP,FW,Atlético Madrid,28,1988,15,13,"1,034",3,3,0,0,7,2
2017-2018,La Liga,124,Jaume Costa,es ESP,DF,Villarreal,29,1988,30,29,"2,544",0,0,0,0,14,2
2017-2018,La Liga,125,Philippe Coutinho,br BRA,"FW,MF",Barcelona,25,1992,18,16,"1,293",8,5,0,0,1,0
2017-2018,La Liga,126,Iván Cuéllar,es ESP,GK,Leganés,33,1984,35,35,"3,150",0,0,0,0,4,0
2017-2018,La Liga,127,Sergi Darder,es ESP,MF,Espanyol,23,1993,35,32,"2,778",1,2,0,0,7,0
2017-2018,La Liga,128,Salem Al-Dawsari,sa KSA,MF,Villarreal,25,1991,1,0,33,0,0,0,0,1,0
2017-2018,La Liga,129,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,20,1997,17,12,918,3,6,0,0,2,0
2017-2018,La Liga,130,Ermedin Demirović,ba BIH,FW,Alavés,19,1998,3,2,183,1,1,0,0,0,0
2017-2018,La Liga,131,Gerard Deulofeu,es ESP,"MF,FW",Barcelona,23,1994,10,5,502,1,1,0,0,1,0
2017-2018,La Liga,132,Adrián Diéguez,es ESP,DF,Alavés,21,1996,6,6,435,0,0,0,0,5,0
2017-2018,La Liga,133,Lucas Digne,fr FRA,DF,Barcelona,24,1993,12,8,709,0,1,0,0,2,0
2017-2018,La Liga,134,Papakouli Diop,sn SEN,MF,Espanyol,31,1986,5,3,262,0,0,0,0,2,0
2017-2018,La Liga,135,Papakouli Diop,sn SEN,MF,Eibar,31,1986,15,12,937,0,0,0,0,5,0
2017-2018,La Liga,136,Djené,tg TOG,DF,Getafe,25,1991,36,36,"3,238",1,0,0,0,9,0
2017-2018,La Liga,137,Marko Dmitrović,rs SRB,GK,Eibar,25,1992,36,36,"3,240",0,0,0,0,1,0
2017-2018,La Liga,138,Jaume Doménech,es ESP,GK,Valencia,26,1990,5,5,450,0,0,0,0,2,0
2017-2018,La Liga,139,Mauro dos Santos,ar ARG,DF,Leganés,28,1989,14,10,986,0,0,0,0,3,0
2017-2018,La Liga,140,Cheick Doukouré,ci CIV,MF,Levante,24,1992,19,12,"1,021",1,0,0,0,4,0
