Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2019-2020,Serie A,1,Francesco Acerbi,it ITA,DF,Lazio,31,1988,36,36,"3,162",2,2,0,0,4,0
2019-2020,Serie A,2,Bobby Adekanye,nl NED,FW,Lazio,20,1999,11,0,188,1,0,0,0,1,0
2019-2020,Serie A,3,Claud Adjapong,it ITA,DF,Hellas Verona,21,1998,5,2,231,0,0,0,0,0,0
2019-2020,Serie A,4,Lucien Agoume,fr FRA,MF,Inter,17,2002,3,0,68,0,0,0,0,1,0
2019-2020,Serie A,5,Kevin Agudelo,co COL,"MF,FW",Fiorentina,20,1998,3,1,64,0,0,0,0,0,0
2019-2020,Serie A,6,Kevin Agudelo,co COL,"MF,FW",Genoa,20,1998,10,7,666,1,1,0,0,5,1
2019-2020,Serie A,7,Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,28,1990,10,2,230,0,0,0,0,2,0
2019-2020,Serie A,8,Ola Aina,ng NGA,DF,Torino,22,1996,32,20,"2,079",0,2,0,0,8,0
2019-2020,Serie A,9,Luis Alberto,es ESP,MF,Lazio,26,1992,36,36,"3,113",6,15,1,1,5,0
2019-2020,Serie A,10,Enrico Alfonso,it ITA,GK,Brescia,31,1988,4,4,279,0,0,0,0,0,0
2019-2020,Serie A,11,Allan,br BRA,MF,Napoli,28,1991,23,16,"1,280",2,1,0,0,3,0
2019-2020,Serie A,12,Bruno Alves,pt POR,DF,Parma,37,1981,33,31,"2,671",0,0,0,0,4,0
2019-2020,Serie A,13,Sofyan Amrabat,ma MAR,MF,Hellas Verona,22,1996,34,33,"2,919",1,1,1,1,10,2
2019-2020,Serie A,14,Djavan Anderson,nl NED,"DF,MF",Lazio,24,1995,6,2,167,0,0,0,0,1,0
2019-2020,Serie A,15,Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,6,5,531,0,0,0,0,0,0
2019-2020,Serie A,16,Peter Ankersen,dk DEN,DF,Genoa,28,1990,19,11,"1,063",0,1,0,0,2,0
2019-2020,Serie A,17,Cristian Ansaldi,ar ARG,"DF,MF",Torino,32,1986,27,21,"1,768",4,4,0,0,9,0
2019-2020,Serie A,18,Mirko Antonucci,it ITA,"FW,MF",Roma,20,1999,2,0,82,0,0,0,0,1,0
2019-2020,Serie A,19,Guilherme Arana,br BRA,DF,Atalanta,22,1997,4,0,80,0,0,0,0,0,0
2019-2020,Serie A,20,Nicolò Armini,it ITA,DF,Lazio,18,2001,1,0,3,0,0,0,0,0,0
2019-2020,Serie A,21,Kwadwo Asamoah,gh GHA,DF,Inter,30,1988,8,7,639,0,1,0,0,1,0
2019-2020,Serie A,22,Kristoffer Askildsen,no NOR,MF,Sampdoria,18,2001,4,0,76,1,0,0,0,2,1
2019-2020,Serie A,23,Emil Audero,it ITA,GK,Sampdoria,22,1997,36,36,"3,240",0,0,0,0,1,0
2019-2020,Serie A,24,Tommaso Augello,it ITA,DF,Sampdoria,24,1994,17,12,"1,135",0,2,0,0,2,0
2019-2020,Serie A,25,Florian Ayé,fr FRA,"FW,MF",Brescia,22,1997,22,15,"1,380",0,0,0,0,4,1
2019-2020,Serie A,26,Khouma Babacar,sn SEN,FW,Lecce,26,1993,25,17,"1,422",3,0,0,2,4,0
2019-2020,Serie A,27,Milan Badelj,hr CRO,MF,Fiorentina,30,1989,22,20,"1,585",1,0,0,0,3,1
2019-2020,Serie A,28,Marco Ballarini,it ITA,MF,Udinese,18,2001,1,0,1,0,0,0,0,0,0
2019-2020,Serie A,29,Mario Balotelli,it ITA,FW,Brescia,28,1990,19,16,"1,404",5,0,0,0,6,1
2019-2020,Serie A,30,Mattia Bani,it ITA,DF,Bologna,25,1993,27,26,"2,207",4,0,0,0,13,1
2019-2020,Serie A,31,Antonín Barák,cz CZE,MF,Udinese,24,1994,8,1,194,0,0,0,0,1,0
2019-2020,Serie A,32,Antonín Barák,cz CZE,MF,Lecce,24,1994,16,15,"1,369",2,1,0,0,0,0
2019-2020,Serie A,33,Nicolò Barella,it ITA,MF,Inter,22,1997,27,23,"2,013",1,4,0,0,11,0
2019-2020,Serie A,34,Antonino Barillà,it ITA,MF,Parma,31,1988,26,20,"1,688",1,2,0,0,6,0
2019-2020,Serie A,35,Antonio Barreca,it ITA,"DF,MF",Genoa,24,1995,18,11,"1,095",0,1,0,0,0,0
2019-2020,Serie A,36,Édgar Barreto,py PAR,MF,Sampdoria,35,1984,2,1,90,0,0,0,0,0,0
2019-2020,Serie A,37,Musa Barrow,gm GAM,"FW,MF",Atalanta,20,1998,7,1,190,0,2,0,1,0,0
2019-2020,Serie A,38,Musa Barrow,gm GAM,FW,Bologna,20,1998,18,14,"1,354",9,2,1,1,1,0
2019-2020,Serie A,39,Daniele Baselli,it ITA,MF,Torino,27,1992,16,16,"1,278",0,2,0,0,3,0
2019-2020,Serie A,40,Alessandro Bastoni,it ITA,DF,Inter,20,1999,25,21,"1,921",2,0,0,0,9,1
2019-2020,Serie A,41,Bastos,ao ANG,DF,Lazio,28,1991,16,6,765,1,0,0,0,4,0
2019-2020,Serie A,42,Rodrigo Becão,br BRA,DF,Udinese,23,1996,29,24,"2,213",1,1,0,0,8,0
2019-2020,Serie A,43,Asmir Begović,ba BIH,GK,Milan,32,1987,2,1,129,0,0,0,0,0,0
2019-2020,Serie A,44,Valon Behrami,ch SUI,MF,Genoa,34,1985,17,13,"1,107",0,0,0,0,4,1
2019-2020,Serie A,45,Raoul Bellanova,it ITA,DF,Atalanta,19,2000,1,0,18,0,0,0,0,0,0
2019-2020,Serie A,46,Andrea Belotti,it ITA,FW,Torino,25,1993,36,34,"3,008",16,3,7,8,4,0
2019-2020,Serie A,47,Marco Benassi,it ITA,MF,Fiorentina,24,1994,18,10,980,1,1,0,0,1,0
2019-2020,Serie A,48,Ismaël Bennacer,dz ALG,MF,Milan,21,1997,31,28,"2,485",1,0,0,0,14,0
2019-2020,Serie A,49,Rodrigo Bentancur,uy URU,MF,Juventus,22,1997,30,25,"2,196",0,7,0,0,9,0
2019-2020,Serie A,50,Romario Benzar,ro ROU,DF,Lecce,27,1992,3,1,97,0,0,0,0,0,0
