Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2018-2019,Bundesliga,163,Vincenzo Grifo,it ITA,"MF,FW",Hoffenheim,25,1993,7,3,335,1,2,1,1,0,0
2018-2019,Bundesliga,164,Florian Grillitsch,at AUT,MF,Hoffenheim,22,1995,30,27,"2,394",0,3,0,0,8,0
2018-2019,Bundesliga,165,Marko Grujić,rs SRB,MF,Hertha BSC,22,1996,22,20,"1,780",5,1,0,0,5,0
2018-2019,Bundesliga,166,Raphaël Guerreiro,pt POR,"FW,DF",Dortmund,24,1993,23,17,"1,527",2,6,0,0,2,0
2018-2019,Bundesliga,167,Josuha Guilavogui,fr FRA,MF,Wolfsburg,27,1990,19,18,"1,570",2,1,0,0,5,0
2018-2019,Bundesliga,168,Péter Gulácsi,hu HUN,GK,RB Leipzig,28,1990,33,33,"2,925",0,0,0,0,0,0
2018-2019,Bundesliga,169,Manuel Gulde,de GER,DF,Freiburg,27,1991,21,20,"1,712",1,0,0,0,3,0
2018-2019,Bundesliga,170,Christian Günter,de GER,DF,Freiburg,25,1993,32,32,"2,879",0,5,0,0,4,1
2018-2019,Bundesliga,171,Ahmet Gürleyen,de GER,DF,Mainz 05,19,1999,1,0,13,0,0,0,0,0,0
2018-2019,Bundesliga,172,Jonathan de Guzmán,nl NED,MF,Eint Frankfurt,30,1987,28,17,"1,564",3,6,0,0,4,0
2018-2019,Bundesliga,173,Janik Haberer,de GER,"MF,FW",Freiburg,24,1994,27,26,"2,340",1,3,0,0,5,1
2018-2019,Bundesliga,174,Alexander Hack,de GER,DF,Mainz 05,24,1993,14,11,"1,020",1,1,0,0,1,0
2018-2019,Bundesliga,175,Benjamin Hadžić,ba BIH,"FW,MF",Hannover 96,19,1999,3,0,25,0,1,0,0,0,0
2018-2019,Bundesliga,176,André Hahn,de GER,"FW,MF",Augsburg,27,1990,28,21,"2,052",4,4,0,0,7,0
2018-2019,Bundesliga,177,Amadou Haidara,ml MLI,MF,RB Leipzig,20,1998,9,4,378,1,0,0,0,1,0
2018-2019,Bundesliga,178,Achraf Hakimi,ma MAR,DF,Dortmund,19,1998,21,19,"1,740",2,4,0,0,4,0
2018-2019,Bundesliga,179,Sébastien Haller,fr FRA,FW,Eint Frankfurt,24,1994,29,23,"2,182",15,9,3,3,3,0
2018-2019,Bundesliga,180,Marcel Halstenberg,de GER,DF,RB Leipzig,26,1991,28,27,"2,414",3,6,2,2,2,0
2018-2019,Bundesliga,181,Genki Haraguchi,jp JPN,"MF,DF",Hannover 96,27,1991,28,22,"2,133",0,3,0,0,1,0
2018-2019,Bundesliga,182,Amine Harit,ma MAR,"MF,FW",Schalke 04,21,1997,18,12,"1,082",1,1,0,0,1,0
2018-2019,Bundesliga,183,Martin Harnik,at AUT,"FW,MF",Werder Bremen,31,1987,18,10,828,4,2,0,0,2,0
2018-2019,Bundesliga,184,Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,34,1984,28,28,"2,520",0,0,0,0,4,0
2018-2019,Bundesliga,185,Kai Havertz,de GER,"MF,FW",Leverkusen,19,1999,34,33,"2,894",17,3,3,3,2,0
2018-2019,Bundesliga,186,Thorgan Hazard,be BEL,"FW,DF",M'Gladbach,25,1993,33,33,"2,873",10,11,3,5,1,0
2018-2019,Bundesliga,187,Dominique Heintz,de GER,DF,Freiburg,24,1993,34,34,"3,053",1,1,0,0,5,0
