Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,EPL,483,Josh Tymon,eng ENG,DF,Stoke City,18,1999,3,2,163,0,0,0,0,0,0
2017-2018,EPL,484,Leonardo Ulloa,ar ARG,FW,Brighton,31,1986,10,2,267,1,0,0,0,0,0
2017-2018,EPL,485,Leonardo Ulloa,ar ARG,FW,Leicester City,31,1986,4,0,22,0,0,0,0,0,0
2017-2018,EPL,486,Antonio Valencia,ec ECU,DF,Manchester Utd,31,1985,31,31,"2,740",3,1,0,0,7,0
2017-2018,EPL,487,Jamie Vardy,eng ENG,FW,Leicester City,30,1987,37,37,"3,247",20,1,5,6,3,0
2017-2018,EPL,488,Jan Vertonghen,be BEL,DF,Tottenham,30,1987,36,36,"3,203",0,0,0,0,4,0
2017-2018,EPL,489,Nikola Vlašić,hr CRO,"FW,MF",Everton,19,1997,12,7,576,0,0,0,0,0,0
2017-2018,EPL,490,Sam Vokes,wal WAL,FW,Burnley,27,1989,30,7,998,4,1,0,0,3,0
2017-2018,EPL,491,Michel Vorm,nl NED,GK,Tottenham,33,1983,1,1,90,0,0,0,0,0,0
2017-2018,EPL,492,Molla Wagué,ml MLI,DF,Watford,26,1991,6,5,438,1,0,0,0,0,0
2017-2018,EPL,493,Theo Walcott,eng ENG,"MF,FW",Arsenal,28,1989,6,0,69,0,0,0,0,0,0
2017-2018,EPL,494,Theo Walcott,eng ENG,"FW,MF",Everton,28,1989,14,13,"1,152",3,3,0,0,2,0
2017-2018,EPL,495,Kyle Walker,eng ENG,DF,Manchester City,27,1990,32,32,"2,785",0,6,0,0,3,2
2017-2018,EPL,496,Kyle Walker-Peters,eng ENG,DF,Tottenham,20,1997,3,2,189,0,2,0,0,0,0
2017-2018,EPL,497,Jonathan Walters,ie IRL,FW,Burnley,33,1983,3,0,39,0,0,0,0,0,0
2017-2018,EPL,498,Aaron Wan-Bissaka,eng ENG,DF,Crystal Palace,19,1997,7,7,627,0,0,0,0,1,0
2017-2018,EPL,499,Victor Wanyama,ke KEN,MF,Tottenham,26,1991,18,8,846,1,0,0,0,2,0
