Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,Bundesliga,195,Marwin Hitz,ch SUI,GK,Augsburg,29,1987,32,32,"2,880",0,0,0,0,2,0
2017-2018,Bundesliga,196,Nicolas Höfler,de GER,MF,Freiburg,27,1990,27,24,"2,259",1,3,0,0,7,1
2017-2018,Bundesliga,197,Jonas Hofmann,de GER,"MF,FW",M'Gladbach,25,1992,23,12,"1,033",0,3,0,0,0,0
2017-2018,Bundesliga,198,Marco Höger,de GER,MF,Köln,27,1989,23,20,"1,674",0,0,0,0,4,0
2017-2018,Bundesliga,199,Lucas Höler,de GER,"MF,FW",Freiburg,23,1994,14,12,906,1,0,0,0,0,0
2017-2018,Bundesliga,200,Lewis Holtby,de GER,"MF,FW",Hamburger SV,26,1990,16,13,"1,196",6,0,0,0,1,0
2017-2018,Bundesliga,201,Gerrit Holtmann,de GER,"DF,FW",Mainz 05,22,1995,17,10,901,2,1,0,0,1,0
2017-2018,Bundesliga,202,Jannes Horn,de GER,DF,Köln,20,1997,11,10,825,0,0,0,0,0,0
2017-2018,Bundesliga,203,Timo Horn,de GER,GK,Köln,24,1993,34,34,"3,060",0,0,0,0,0,0
2017-2018,Bundesliga,204,Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,27,1989,34,34,"3,060",0,0,0,0,1,0
2017-2018,Bundesliga,205,Branimir Hrgota,se SWE,"FW,MF",Eint Frankfurt,24,1993,6,2,196,0,0,0,0,1,0
2017-2018,Bundesliga,206,Timo Hübers,de GER,DF,Hannover 96,21,1996,5,5,450,0,1,0,0,2,0
2017-2018,Bundesliga,207,Benjamin Hübner,de GER,DF,Hoffenheim,28,1989,27,27,"2,315",3,2,0,0,9,0
2017-2018,Bundesliga,208,Florian Hübner,de GER,DF,Hannover 96,26,1991,9,4,327,0,0,0,0,2,0
